;Condition;Recording;Question;Reponse;Reponse_juste;Frequence mouvements du regard;Time on timer;Time on bonne reponse;Frequence mouvements du regard_9;Looked_Timer;Looked_Bonne_reponse;Time on enonce;Time on reponses;Proportion parcours linéaire;Proportion passage enonce reponse; Temps réponse moyen
r1;c1;r1;q1;12.0;4.0;3.4434526023626026;0.0;0.32800291521719027;3.4434526023626026;0.0;5.4;0.567145325225294;0.10414501392107962;0.18890493194532992;0.1607336271313931;27785731.1
r2;c2;r2;q1;12.6;5.0;3.494113942;0.08805407674701118;0.4229307780622357;71.61886985287077;2.7;3.15;0.6668006461521807;0.1091186984938903;0.18847726559222724;0.10305083559994047;28428065.3
r3;c1;r3;q1;11.4;4.0;2.9325952656077616;0.0;0.5777139635578047;2.9325952656077616;0.0;4.75;0.6983267884526811;0.1266639269400919;0.2673219898439663;0.10937846396762815;54833663.3
r4;c2;r4;q1;12.4;6.0;3.317506768;0.03551724760197872;0.5211074663315529;90.63366193205644;0.9;3.8;0.6720257017780854;0.09837904423268892;0.17465079176663098;0.10328482030661527;27168626.7
r5;c1;r5;q1;11.9;2.0;3.064162665536006;0.0;0.5410705729071118;3.064162665536006;0.0;6.1;0.7628801051824683;0.054063449582085234;0.25036756998068477;0.0960361649329094;25463706.9
r6;c2;r6;q2;11.2;3.0;4.266456117;0.026149763522349424;0.3850237318483515;66.22381524629452;0.5;2.4;0.7865973667827808;0.10440930182687189;0.23045546584377158;0.09227320374797353;21929350.1
r7;c3;r7;q1;12.8;4.0;3.6907702893192442;0.13860338823314014;0.35784509327180436;3.6907702893192442;0.8;6.7;0.5955638670223907;0.09215967661386636;0.1846147763713411;0.20039367214128184;40821354.2
r8;c3;r8;q1;12.6;6.0;3.5136207780955075;0.23112276479960198;0.3871159102076257;3.5136207780955075;0.8;5.7;0.5867211320466792;0.09350161670778159;0.12115485603694336;0.15653725604448673;37665411.0
r9;c3;r9;q1;12.4;5.0;3.7607859451274672;0.08210820172421132;0.5499933201556721;3.7607859451274672;0.5;2.4;0.6939524458222956;0.12294598294248653;0.16054568224049365;0.1697251020569767;26033049.3
